State1,State2,SKU
Don't New Mexico,My Alabama,D-NM-M-AL
Don't New Mexico,My Alaska,D-NM-M-AK
Don't New Mexico,My Arizona,D-NM-M-AZ
Don't New Mexico,My Arkansas,D-NM-M-AR
Don't New Mexico,My California,D-NM-M-CA
Don't New Mexico,My Colorado,D-NM-M-CO
Don't New Mexico,My Connecticut,D-NM-M-CT
Don't New Mexico,My Delaware,D-NM-M-DE
Don't New Mexico,My Florida,D-NM-M-FL
Don't New Mexico,My Georgia,D-NM-M-GA
Don't New Mexico,My Hawaii,D-NM-M-HI
Don't New Mexico,My Idaho,D-NM-M-ID
Don't New Mexico,My Illinois,D-NM-M-IL
Don't New Mexico,My Indiana,D-NM-M-IN
Don't New Mexico,My Iowa,D-NM-M-IA
Don't New Mexico,My Kansas,D-NM-M-KS
Don't New Mexico,My Kentucky,D-NM-M-KY
Don't New Mexico,My Louisiana,D-NM-M-LA
Don't New Mexico,My Maine,D-NM-M-ME
Don't New Mexico,My Maryland,D-NM-M-MD
Don't New Mexico,My Massachusetts,D-NM-M-MA
Don't New Mexico,My Michigan,D-NM-M-MI
Don't New Mexico,My Minnesota,D-NM-M-MN
Don't New Mexico,My Mississippi,D-NM-M-MS
Don't New Mexico,My Missouri,D-NM-M-MO
Don't New Mexico,My Montana,D-NM-M-MT
Don't New Mexico,My Nebraska,D-NM-M-NE
Don't New Mexico,My Nevada,D-NM-M-NV
Don't New Mexico,My New Hampshire,D-NM-M-NH
Don't New Mexico,My New Jersey,D-NM-M-NJ
Don't New Mexico,My New Mexico,D-NM-M-NM
Don't New Mexico,My New York,D-NM-M-NY
Don't New Mexico,My North Carolina,D-NM-M-NC
Don't New Mexico,My North Dakota,D-NM-M-ND
Don't New Mexico,My Ohio,D-NM-M-OH
Don't New Mexico,My Oklahoma,D-NM-M-OK
Don't New Mexico,My Oregon,D-NM-M-OR
Don't New Mexico,My Pennsylvania,D-NM-M-PA
Don't New Mexico,My Rhode Island,D-NM-M-RI
Don't New Mexico,My South Carolina,D-NM-M-SC
Don't New Mexico,My South Dakota,D-NM-M-SD
Don't New Mexico,My Tennessee,D-NM-M-TN
Don't New Mexico,My Texas,D-NM-M-TX
Don't New Mexico,My Utah,D-NM-M-UT
Don't New Mexico,My Vermont,D-NM-M-VT
Don't New Mexico,My Virginia,D-NM-M-VA
Don't New Mexico,My Washington,D-NM-M-WA
Don't New Mexico,My West Virginia,D-NM-M-WV
Don't New Mexico,My Wisconsin,D-NM-M-WI
Don't New Mexico,My Wyoming,D-NM-M-WY
Don't New York,My Alabama,D-NY-M-AL
Don't New York,My Alaska,D-NY-M-AK
